,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long
4825,2014-06-19,646000,4,2,2310,4079,2,No,No View,Average,8,2008,98117,47.6937,-122.361
4826,2014-11-18,645500,4,2,2390,9638,2,No,No View,Average,10,1988,98029,47.5598,-122.018
4827,2014-11-12,645500,4,2,2990,8622,2,No,No View,Average,9,2000,98065,47.5394,-121.875
4828,2014-05-30,645500,2,1,1890,5202,2,No,No View,Good,7,1909,98117,47.6786,-122.379
4829,2015-03-27,645000,3,2,2120,196995,1,No,Fair,Average,9,1997,98070,47.4089,-122.459
4830,2014-08-27,645000,2,2,1995,115670,2,No,Fair,Good,8,1991,98070,47.4022,-122.464
4831,2014-12-01,645000,3,2,3280,79279,1,No,No View,Average,10,2001,98003,47.3207,-122.293
4832,2014-11-07,645000,5,2,3340,52476,2,No,No View,Good,8,1975,98027,47.4553,-121.987
4833,2014-07-08,645000,4,2,2850,37522,2,No,No View,Average,9,1987,98075,47.5852,-121.992
4834,2014-12-08,645000,3,2,2930,19900,2,No,No View,Average,9,1983,98077,47.7234,-122.066
4835,2014-07-07,645000,4,2,2690,18653,2,No,No View,Average,8,1985,98074,47.6449,-122.059
4836,2014-09-02,645000,4,2,2720,18295,1,No,No View,Good,8,1979,98075,47.5851,-122.073
4837,2014-06-25,645000,3,3,1850,16960,1,No,Average,Good,8,1953,98177,47.7128,-122.365
4838,2014-06-02,645000,4,2,2430,14400,1,No,No View,Very Good,8,1963,98007,47.6202,-122.138
4839,2014-07-17,645000,4,2,2860,14000,2,No,No View,Average,8,1995,98019,47.7306,-121.973
4840,2014-05-13,645000,3,2,1740,13750,2,No,No View,Good,9,1975,98008,47.6264,-122.092
4841,2014-11-25,645000,2,2,2770,11884,1,No,Good,Good,8,1969,98070,47.5098,-122.474
4842,2015-01-08,645000,4,2,2780,11583,1,No,Good,Average,8,1955,98125,47.7293,-122.284
4843,2014-07-02,645000,3,2,2270,11472,1,No,No View,Good,7,1956,98177,47.7057,-122.374
4844,2014-05-16,645000,4,2,3160,11380,2,No,No View,Average,9,1983,98074,47.6318,-122.039
4845,2015-04-27,645000,3,3,3870,11000,2,No,Average,Average,9,1991,98106,47.5545,-122.354
4846,2015-04-22,645000,4,2,2250,10696,2,No,No View,Average,8,1996,98006,47.5715,-122.128
4847,2014-12-12,645000,4,2,2340,8955,2,No,No View,Average,9,1990,98074,47.6283,-122.026
4848,2014-12-16,645000,4,2,2070,8720,1,No,No View,Very Good,8,1974,98033,47.6678,-122.182
4849,2014-09-04,645000,4,2,1550,7350,2,No,No View,Good,8,1958,98040,47.5795,-122.235
4850,2014-07-16,645000,3,2,2340,6750,2,No,No View,Very Good,7,1914,98103,47.6956,-122.335
4851,2015-05-04,645000,4,3,2340,6350,1,No,No View,Good,7,1974,98126,47.5559,-122.379
4852,2015-03-11,645000,4,2,1600,6180,2,No,No View,Average,6,1946,98118,47.5681,-122.285
4853,2015-02-10,645000,3,4,2050,6000,2,No,No View,Very Good,7,1910,98103,47.6873,-122.332
4854,2015-03-21,645000,3,2,2490,5978,2,No,No View,Average,9,2003,98074,47.6298,-122.022
4855,2014-07-22,645000,3,2,2070,5500,1,No,No View,Good,7,1946,98115,47.6733,-122.301
4856,2015-02-19,645000,4,4,2910,5260,2,No,No View,Average,9,2012,98065,47.5168,-121.883
4857,2014-10-13,645000,2,1,1240,5000,1,No,No View,Average,7,1920,98103,47.6634,-122.351
4858,2015-04-30,645000,3,2,1840,4255,1,No,No View,Average,7,1907,98116,47.58,-122.392
4859,2015-05-13,645000,3,2,1640,4218,1,No,No View,Good,7,1941,98103,47.6546,-122.344
4860,2014-10-24,645000,4,2,2780,4200,2,No,No View,Average,8,2001,98075,47.5989,-122.039
4861,2015-03-24,645000,3,1,2270,4182,1,No,No View,Good,7,1946,98115,47.688,-122.32
4862,2014-10-29,645000,4,2,2550,4000,2,No,No View,Good,7,1926,98115,47.6811,-122.318
4863,2014-08-20,645000,3,2,2130,4000,2,No,No View,Average,7,1908,98115,47.6741,-122.323
4864,2014-07-15,645000,4,3,2330,3917,2,No,No View,Average,9,2004,98029,47.5527,-121.99
4865,2015-04-24,645000,3,2,2170,1984,2,No,No View,Average,8,2008,98027,47.5401,-122.027
4866,2015-03-10,645000,3,2,1900,1258,2,No,No View,Average,7,2007,98119,47.6465,-122.358
4867,2014-05-29,645000,3,3,1730,1229,2,No,Average,Average,9,2008,98119,47.6374,-122.369
4868,2015-03-16,645000,3,2,1640,1023,3,No,No View,Average,8,2014,98105,47.6636,-122.319
4869,2014-11-01,644500,4,2,2990,5342,2,No,No View,Average,8,2004,98074,47.6124,-122.009
4870,2015-04-09,644000,4,2,3310,4839,2,No,No View,Average,9,2007,98072,47.773,-122.161
4871,2015-05-05,643950,3,2,1760,2122,3,No,No View,Average,9,2015,98116,47.5633,-122.385
4872,2014-09-05,643500,3,2,1650,7104,2,No,No View,Average,8,1945,98177,47.7053,-122.374
4873,2014-11-18,643500,6,5,3600,3960,2,No,No View,Average,7,1971,98126,47.5656,-122.372
4874,2014-09-23,643403,3,2,2350,9648,1,No,No View,Good,9,1966,98008,47.6156,-122.108
4875,2014-09-02,643002,3,2,1770,3744,2,No,No View,Average,7,1929,98117,47.6807,-122.364
4876,2015-02-20,643000,3,2,1780,214315,1,No,No View,Average,7,1954,98077,47.7631,-122.028
4877,2015-02-27,643000,4,2,2270,8391,2,No,No View,Average,8,1988,98029,47.574,-122.013
4878,2014-11-22,643000,3,3,2030,7700,1,No,No View,Very Good,8,1965,98008,47.626,-122.112
4879,2015-04-14,643000,4,2,2518,4663,2,No,No View,Average,8,2005,98075,47.5894,-122.017
4880,2014-12-17,642860,4,3,2520,6398,2,No,No View,Average,8,2014,98072,47.7685,-122.159
4881,2015-04-22,642450,3,2,1830,4160,1,No,No View,Average,7,1919,98144,47.5962,-122.288
4882,2014-05-30,642000,3,2,2670,10082,1,No,No View,Average,10,1987,98074,47.6359,-122.045
4883,2014-05-30,642000,4,2,2560,8780,2,No,No View,Average,9,1992,98029,47.5717,-121.991
4884,2014-08-30,642000,3,1,1040,4480,1,No,No View,Average,7,1924,98109,47.6461,-122.356
4885,2015-02-25,642000,6,1,1530,4305,2,No,No View,Good,7,1921,98115,47.6862,-122.31
4886,2015-03-10,641500,1,1,1000,9084,1,Yes,Good,Average,7,1950,98146,47.5007,-122.382
4887,2014-08-27,641250,3,2,2220,2550,3,No,Average,Average,10,1990,98117,47.6963,-122.393
4888,2014-07-11,641200,3,1,1060,9123,1,No,No View,Average,7,1952,98004,47.6218,-122.193
4889,2014-06-27,641000,4,2,2770,63118,2,No,No View,Average,9,1997,98014,47.6622,-121.961
4890,2015-02-13,641000,3,2,1480,9603,1,No,No View,Average,7,1952,98004,47.5915,-122.202
4891,2015-04-06,641000,5,3,3710,8674,2,No,No View,Average,9,1996,98056,47.514,-122.176
4892,2015-04-17,641000,5,4,3420,6403,2,No,Average,Average,8,2013,98065,47.5162,-121.874
4893,2014-10-21,641000,4,2,2600,6015,2,No,No View,Average,8,2004,98075,47.5971,-122.031
4894,2014-07-15,641000,2,1,1420,5332,1,No,No View,Average,8,1953,98105,47.6694,-122.275
4895,2014-08-18,641000,4,3,2760,4104,2,No,No View,Average,8,2014,98056,47.5286,-122.187
4896,2014-05-23,641000,3,2,1620,3975,1,No,No View,Very Good,7,1926,98117,47.6786,-122.368
4897,2015-02-11,640500,2,2,1640,6750,1,No,No View,Good,8,1939,98125,47.7068,-122.308
4898,2015-05-06,640500,3,1,1070,4505,1,No,Average,Good,7,1919,98136,47.5305,-122.384
4899,2014-10-17,640000,6,2,2840,228690,2,No,No View,Average,6,1948,98019,47.7158,-121.966
4900,2015-05-11,640000,4,2,4090,215186,2,No,No View,Good,8,1979,98092,47.2964,-122.116
4901,2014-09-24,640000,4,2,2970,34981,2,No,No View,Average,9,1998,98077,47.7365,-122.037
4902,2015-04-28,640000,4,2,2310,31850,2,No,No View,Good,8,1984,98072,47.7713,-122.122
4903,2014-08-28,640000,3,2,2790,31798,1,No,No View,Very Good,8,1953,98027,47.5241,-122.039
4904,2014-10-20,640000,4,2,3420,21344,2,No,No View,Average,9,2002,98166,47.45,-122.334
4905,2014-08-27,640000,4,2,2020,16120,1,No,No View,Average,7,1969,98010,47.3413,-122.048
4906,2014-06-12,640000,5,4,3690,11928,2,No,No View,Average,9,2006,98074,47.6108,-122.06
4907,2014-09-16,640000,4,3,2100,11894,1,No,No View,Good,8,1968,98004,47.6006,-122.194
4908,2014-08-22,640000,4,2,2320,11259,2,No,No View,Average,9,1982,98004,47.6443,-122.194
4909,2014-06-03,640000,3,2,2370,11172,2,No,No View,Average,9,1993,98056,47.5345,-122.179
4910,2014-08-12,640000,3,4,2480,10800,2,No,No View,Average,8,1998,98074,47.6083,-122.06
4911,2014-07-03,640000,3,2,1980,10115,1,No,No View,Average,8,1959,98005,47.6384,-122.174
4912,2014-08-11,640000,4,2,2460,9973,1,No,No View,Good,8,1965,98177,47.7133,-122.361
4913,2014-10-13,640000,4,2,2060,9828,1,No,No View,Good,8,1960,98005,47.5867,-122.174
4914,2014-06-24,640000,4,2,2341,9594,2,No,No View,Average,9,1997,98052,47.6993,-122.115
4915,2014-06-09,640000,3,2,2140,8925,2,No,No View,Average,8,1991,98074,47.6314,-122.027
4916,2014-07-22,640000,3,2,2390,8315,2,No,No View,Good,9,1990,98074,47.6271,-122.028
4917,2015-04-14,640000,3,2,2420,8244,2,No,No View,Average,10,1988,98029,47.5595,-122.019
4918,2015-04-02,640000,3,2,1680,8100,1,No,Average,Average,8,1950,98177,47.7212,-122.364
4919,2014-05-15,640000,4,2,2560,7798,1,No,No View,Good,7,1947,98115,47.6914,-122.296
4920,2015-03-04,640000,4,2,2210,7722,2,No,No View,Average,9,1999,98075,47.5992,-122.019
4921,2014-08-18,640000,3,2,2580,7500,2,No,No View,Average,9,1991,98116,47.5577,-122.396
4922,2014-07-15,640000,4,2,2500,7417,2,No,No View,Average,9,1991,98074,47.6251,-122.026
4923,2014-10-14,640000,4,3,3150,7379,2,No,No View,Good,7,1915,98115,47.6968,-122.3
4924,2014-07-11,640000,4,3,3040,7274,2,No,Good,Average,9,1986,98125,47.7184,-122.28
4925,2014-10-24,640000,5,2,2020,6565,1,No,No View,Average,8,1956,98115,47.6821,-122.283
4926,2014-05-02,640000,4,2,1520,6200,2,No,No View,Average,7,1945,98115,47.678,-122.269
4927,2014-12-30,640000,4,2,2360,6000,2,No,No View,Good,8,1904,98107,47.6702,-122.362
4928,2014-11-12,640000,4,3,2940,5763,1,No,No View,Very Good,8,1955,98108,47.5589,-122.295
4929,2015-02-05,640000,4,4,3220,5741,2,No,No View,Average,9,2013,98065,47.5169,-121.886
4930,2014-05-07,640000,3,3,2270,5175,2,No,No View,Average,9,2002,98056,47.516,-122.203
4931,2014-11-21,640000,4,2,2260,5172,2,No,No View,Average,9,2004,98052,47.7047,-122.128
4932,2015-01-09,640000,2,1,1360,5000,1,No,No View,Average,7,1936,98199,47.6372,-122.392
4933,2015-04-08,640000,2,1,1070,5000,1,No,No View,Average,7,1924,98103,47.6666,-122.331
4934,2014-08-15,640000,3,1,1530,4944,1,No,No View,Average,7,1950,98103,47.6857,-122.341
4935,2014-06-17,640000,3,2,1380,4800,1,No,No View,Average,7,1948,98199,47.651,-122.369
4936,2014-11-11,640000,5,2,3220,4759,2,No,No View,Average,8,2003,98075,47.5957,-122.032
4937,2014-12-11,640000,3,2,1470,4640,2,No,No View,Good,7,1926,98199,47.6398,-122.393
4938,2014-06-20,640000,2,2,1760,4400,1,No,No View,Good,7,1930,98103,47.65,-122.34
4939,2014-06-05,640000,3,2,2340,4206,1,No,No View,Very Good,7,1917,98144,47.5759,-122.288
4940,2014-08-20,640000,3,2,1960,4080,2,No,No View,Average,7,1915,98115,47.6768,-122.31
4941,2014-08-19,640000,3,2,2160,4000,2,No,No View,Average,8,1903,98122,47.6045,-122.307
4942,2014-11-10,640000,3,1,1210,3720,2,No,No View,Good,8,1930,98112,47.6317,-122.301
4943,2014-08-06,640000,4,2,2100,3000,2,No,No View,Good,7,1911,98103,47.6721,-122.329
4944,2015-02-18,640000,3,4,1740,1975,2,No,Good,Average,8,1998,98122,47.6085,-122.311
4945,2014-06-04,640000,3,2,1690,1553,2,No,No View,Average,8,2007,98199,47.6443,-122.385
4946,2014-07-31,640000,3,3,1560,1466,3,No,No View,Average,8,2006,98103,47.6604,-122.352
4947,2015-03-16,640000,3,2,1620,1377,2,No,No View,Average,8,2009,98112,47.6195,-122.299
4948,2014-07-01,640000,2,2,1540,965,3,No,No View,Average,9,2007,98122,47.6181,-122.318
4949,2014-05-19,640000,2,2,1540,958,3,No,No View,Average,9,2007,98122,47.6179,-122.318
4950,2014-10-14,639983,5,3,2800,5700,2,No,No View,Average,8,2014,98059,47.4969,-122.145
4951,2014-08-11,639950,2,2,1780,4520,1,No,No View,Very Good,7,1925,98116,47.5798,-122.404
4952,2015-04-02,639900,4,2,3380,75794,2,No,No View,Average,10,1997,98001,47.3511,-122.266
4953,2015-03-28,639900,3,2,2330,4160,2,No,No View,Good,8,1992,98052,47.6367,-122.109
4954,2014-06-24,639888,4,2,2050,2772,2,No,No View,Average,8,2012,98029,47.5421,-122.011
4955,2014-06-21,639500,4,2,2330,8994,2,No,No View,Average,8,1986,98052,47.7264,-122.104
4956,2015-05-07,639500,3,2,2010,8072,1,No,No View,Good,8,1974,98052,47.6327,-122.097
4957,2014-05-20,639000,4,2,2150,12028,2,No,No View,Good,8,1982,98052,47.7224,-122.101
4958,2014-07-22,639000,4,2,2210,9875,2,No,No View,Average,9,1990,98074,47.6285,-122.025
4959,2014-07-18,639000,4,2,2500,8540,2,No,No View,Average,9,1990,98029,47.5759,-121.994
4960,2014-10-03,639000,4,2,1990,8034,2,No,No View,Good,10,1989,98029,47.561,-122.018
4961,2014-08-12,639000,4,2,1830,6000,1,No,No View,Good,7,1939,98199,47.6536,-122.41
4962,2014-07-10,639000,4,2,1840,5419,1,No,No View,Good,7,1942,98199,47.6483,-122.404
4963,2014-10-06,639000,4,2,1940,5000,1,No,No View,Good,7,1910,98107,47.6719,-122.369
4964,2014-08-11,639000,3,2,2010,3300,2,No,No View,Average,9,2014,98118,47.5573,-122.287
4965,2015-04-17,639000,3,2,1400,2421,2,No,No View,Average,9,2005,98034,47.695,-122.169
4966,2014-12-16,638700,3,2,2080,9162,1,No,No View,Average,7,1960,98005,47.5846,-122.168
4967,2015-04-20,638500,4,2,1770,12462,1,No,Average,Good,8,1962,98166,47.4355,-122.338
4968,2015-04-29,638500,4,2,1980,6568,2,No,No View,Average,8,2004,98052,47.704,-122.101
4969,2015-03-03,638250,4,2,2460,8029,2,No,No View,Average,9,1989,98074,47.6262,-122.03
4970,2014-07-18,638150,4,2,2170,7275,1,No,No View,Average,8,1978,98027,47.5672,-122.09
4971,2015-03-25,638000,3,2,2170,5000,2,No,No View,Average,9,2003,98029,47.5453,-121.996
4972,2015-04-22,638000,3,1,1830,4400,2,No,No View,Good,8,1930,98122,47.6052,-122.3
4973,2015-04-22,638000,4,2,1470,4236,2,No,No View,Good,7,1946,98107,47.6692,-122.399
4974,2014-06-26,638000,3,2,1660,3729,1,No,No View,Very Good,7,1922,98116,47.5741,-122.414
4975,2014-06-16,638000,3,2,2110,3600,2,No,No View,Average,9,2005,98052,47.665,-122.082
4976,2015-02-19,638000,3,3,1720,1587,2,No,Average,Average,9,2004,98122,47.6187,-122.299
4977,2014-11-21,637850,5,3,3340,4900,2,No,Average,Average,9,2014,98065,47.5193,-121.877
4978,2014-11-13,637800,4,2,2250,4750,2,No,No View,Good,7,1924,98115,47.6738,-122.292
4979,2015-02-06,637500,3,2,1680,10685,1,No,No View,Good,7,1966,98033,47.6556,-122.193
4980,2014-12-22,637500,4,3,2320,4468,2,No,No View,Average,8,1999,98029,47.546,-122.009
4981,2014-11-21,637250,4,2,2120,3220,2,No,No View,Average,9,2005,98052,47.6662,-122.083
4982,2014-08-26,637000,4,4,3080,118918,2,No,No View,Average,9,2008,98019,47.7721,-121.924
4983,2014-09-19,637000,4,4,4083,68377,2,No,No View,Average,10,2005,98001,47.3114,-122.262
4984,2015-02-23,637000,4,2,2120,15000,2,No,No View,Good,8,1983,98052,47.7159,-122.1
4985,2014-11-03,637000,4,3,2850,7510,2,No,No View,Average,8,2008,98125,47.7097,-122.305
4986,2015-02-27,637000,3,2,2200,7355,2,No,No View,Good,8,1986,98052,47.7266,-122.103
4987,2014-07-16,637000,5,3,2460,7240,1,No,No View,Average,9,1991,98006,47.5486,-122.189
4988,2014-08-07,637000,3,2,1980,6000,1,No,No View,Good,7,1958,98115,47.6921,-122.283
4989,2015-03-04,637000,4,3,2900,5803,2,No,No View,Average,9,2007,98028,47.7368,-122.232
4990,2015-05-06,637000,4,2,1710,5000,1,No,No View,Average,8,1979,98115,47.6772,-122.285
4991,2015-02-09,637000,4,3,2190,2867,2,No,No View,Very Good,7,1929,98115,47.6868,-122.308
4992,2014-08-28,636230,4,2,2840,6284,2,No,No View,Average,9,2013,98056,47.5135,-122.169
4993,2014-10-01,636100,3,1,1010,6000,2,No,No View,Average,7,1919,98119,47.6438,-122.357
4994,2014-05-08,636000,2,2,1230,3600,2,No,No View,Very Good,7,1925,98119,47.6423,-122.361
4995,2015-04-20,636000,3,2,2140,2770,2,No,No View,Average,8,2007,98052,47.6664,-122.131
4996,2014-05-22,635700,4,2,3240,13978,1,No,No View,Average,9,1977,98074,47.6298,-122.057
4997,2014-11-14,635500,3,2,1660,3600,1,No,No View,Average,7,1939,98103,47.6789,-122.351
4998,2014-10-13,635250,3,2,2210,22040,1,No,No View,Very Good,8,1976,98004,47.5904,-122.194
4999,2014-05-29,635200,4,2,1640,4240,1,No,No View,Very Good,7,1921,98117,47.6766,-122.368
5000,2014-09-02,635000,3,2,2680,175982,1,No,No View,Average,9,2004,98038,47.4487,-122.033
5001,2014-12-16,635000,3,2,1940,167125,1,Yes,Fair,Good,7,1955,98070,47.459,-122.504
5002,2014-08-29,635000,4,2,2470,77550,1,No,No View,Good,7,1987,98075,47.5888,-122.011
5003,2015-03-05,635000,4,2,2350,46173,2,No,No View,Good,8,1980,98053,47.6657,-122.067
5004,2014-07-25,635000,4,2,2490,40608,2,No,No View,Average,9,1997,98053,47.6507,-122.004
5005,2014-11-05,635000,4,2,4260,36360,2,No,No View,Good,8,1935,98155,47.764,-122.302
5006,2014-07-09,635000,4,2,3080,35430,2,No,No View,Average,9,1997,98053,47.6325,-121.97
5007,2014-09-16,635000,5,3,3710,34200,2,No,No View,Average,8,1986,98074,47.6101,-122.047
5008,2015-03-23,635000,4,2,2570,27972,2,No,No View,Average,8,1997,98053,47.6343,-121.969
5009,2014-11-25,635000,3,2,3610,26359,1,No,No View,Average,8,1998,98053,47.6306,-121.968
5010,2014-05-13,635000,4,2,1950,13320,1,No,No View,Good,8,1969,98007,47.6196,-122.139
5011,2015-02-06,635000,5,4,4150,13232,2,No,No View,Average,11,2006,98003,47.3417,-122.182
5012,2015-04-08,635000,4,2,2070,11286,2,No,No View,Average,8,1996,98056,47.5284,-122.173
5013,2015-02-26,635000,4,2,2080,11176,1,No,No View,Very Good,8,1954,98125,47.7107,-122.289
5014,2014-08-08,635000,3,2,1780,11000,1,No,No View,Good,8,1980,98006,47.5574,-122.149
5015,2015-04-24,635000,4,2,2500,10215,2,No,No View,Average,9,1998,98075,47.5912,-121.986
5016,2015-01-13,635000,4,2,2400,10050,1,No,No View,Very Good,8,1957,98008,47.6339,-122.124
5017,2014-12-16,635000,4,2,1920,8910,1,No,No View,Good,8,1969,98005,47.5897,-122.156
5018,2014-09-17,635000,2,2,2470,8840,2,No,No View,Good,8,2001,98108,47.5693,-122.301
5019,2014-12-16,635000,4,2,2930,8679,2,No,No View,Average,8,2014,98056,47.5164,-122.19
5020,2014-07-17,635000,4,2,2260,8457,2,No,No View,Average,9,1992,98074,47.6251,-122.03
5021,2014-09-10,635000,4,2,2660,8160,1,No,No View,Good,7,1949,98177,47.7229,-122.359
5022,2015-01-13,635000,4,2,2720,7991,2,No,No View,Average,9,2006,98133,47.7168,-122.331
5023,2015-04-03,635000,4,2,2970,7961,1,No,No View,Average,8,1969,98125,47.7118,-122.29
5024,2014-08-01,635000,4,2,2460,7560,2,No,No View,Good,8,1952,98177,47.7256,-122.367
5025,2014-10-31,635000,3,2,1940,7482,1,No,No View,Good,7,1964,98004,47.6004,-122.195
5026,2014-09-17,635000,4,2,3050,7238,2,No,No View,Average,8,1989,98029,47.5772,-122.013
5027,2014-08-22,635000,4,3,2690,7200,2,No,Good,Average,9,1978,98155,47.7341,-122.288
5028,2014-06-02,635000,3,2,1960,7200,1,No,No View,Good,8,1940,98118,47.5655,-122.27
5029,2014-11-06,635000,4,2,2410,7069,2,No,No View,Average,9,1993,98034,47.7094,-122.234
5030,2015-04-27,635000,3,2,1480,6985,2,No,No View,Good,7,1926,98117,47.686,-122.374
5031,2015-04-08,635000,3,2,2620,6842,2,No,No View,Average,7,2002,98053,47.6846,-122.037
5032,2014-07-11,635000,4,3,3420,6752,2,No,Average,Average,9,2012,98065,47.517,-121.876
5033,2015-04-20,635000,5,3,3110,6621,2,No,No View,Average,9,2006,98065,47.543,-121.888
5034,2014-05-21,635000,4,2,2750,6180,1,No,No View,Good,8,1948,98118,47.5691,-122.284
5035,2014-09-15,635000,3,2,2940,6000,1,No,Average,Good,8,1957,98177,47.7235,-122.369
5036,2015-04-07,635000,5,2,2180,6000,1,No,No View,Good,8,1966,98007,47.6235,-122.143
5037,2014-07-21,635000,6,2,3880,5700,2,No,No View,Average,7,2003,98053,47.6816,-122.038
5038,2015-04-22,635000,5,3,2620,5500,2,No,No View,Average,7,1911,98117,47.6806,-122.388
5039,2014-05-28,635000,3,2,2300,5500,2,No,No View,Good,8,1921,98144,47.5785,-122.293
5040,2014-12-01,635000,3,2,2240,5300,1,No,No View,Very Good,7,1955,98117,47.6927,-122.395
5041,2014-07-17,635000,4,2,2240,5000,2,No,No View,Average,8,2013,98074,47.6212,-122.058
5042,2014-09-08,635000,3,2,1530,5000,1,No,Average,Average,7,1948,98117,47.6806,-122.36
5043,2015-03-09,635000,5,2,2240,4750,1,No,No View,Good,7,1920,98115,47.6727,-122.293
5044,2015-02-27,635000,3,2,1210,4400,2,No,No View,Good,8,1930,98105,47.6621,-122.288
5045,2014-06-30,635000,3,2,3350,4007,2,No,No View,Average,8,2005,98034,47.7277,-122.207
5046,2015-01-16,635000,4,2,2820,4000,2,No,No View,Average,7,1911,98103,47.6638,-122.348
5047,2015-02-09,635000,4,2,2500,4000,2,No,No View,Average,8,2014,98144,47.5902,-122.311
5048,2015-02-23,635000,3,2,1340,3900,2,No,No View,Very Good,7,1900,98107,47.6711,-122.379
5049,2015-04-03,635000,4,3,2100,3800,2,No,No View,Average,8,1972,98115,47.6807,-122.291
5050,2015-02-22,635000,4,2,2880,3091,2,No,No View,Average,9,2014,98144,47.5711,-122.286
5051,2014-07-16,635000,3,2,1530,2978,1,No,No View,Average,7,1997,98117,47.6796,-122.39
5052,2014-05-12,635000,3,2,1570,1433,3,No,No View,Average,8,2010,98103,47.6858,-122.336
5053,2015-02-23,635000,3,3,2290,1407,2,No,No View,Average,8,2014,98027,47.5446,-122.017
5054,2014-08-19,635000,3,3,2230,1407,2,No,No View,Average,8,2013,98027,47.5446,-122.017
5055,2015-01-08,635000,3,3,2230,1407,2,No,No View,Average,8,2014,98027,47.5446,-122.017
5056,2014-09-02,635000,3,4,1730,1349,3,No,No View,Average,9,2009,98102,47.6224,-122.326
5057,2015-04-06,635000,2,2,1390,1132,2,No,No View,Average,8,2006,98102,47.6228,-122.319
5058,2014-08-07,634950,3,3,2180,2650,2,No,No View,Very Good,8,1930,98117,47.6891,-122.375
5059,2014-12-09,634800,4,3,3280,4904,2,No,No View,Average,7,2005,98053,47.6802,-122.033
5060,2015-02-10,634000,3,2,2570,13000,2,No,No View,Good,7,1962,98177,47.7705,-122.371
5061,2014-08-21,634000,3,2,2490,4904,2,No,No View,Average,9,2003,98029,47.5451,-122.014
5062,2014-06-23,633634,4,4,2960,6000,2,No,No View,Average,9,2014,98065,47.5183,-121.886
5063,2014-05-14,633100,4,2,2470,33305,2,No,No View,Average,9,1993,98053,47.6303,-121.99
5064,2014-12-19,633000,5,3,3630,30570,2,No,No View,Average,11,2000,98058,47.4243,-122.097
5065,2014-07-03,633000,4,2,2360,10000,1,No,Good,Average,8,1977,98126,47.573,-122.374
5066,2015-01-02,633000,4,2,2020,8044,2,No,No View,Average,8,1990,98074,47.6247,-122.043
5067,2014-12-22,633000,4,4,4220,5817,2,No,No View,Average,9,2006,98065,47.5392,-121.862
5068,2014-11-04,632925,3,2,2990,32239,2,No,No View,Good,8,1978,98077,47.7718,-122.095
5069,2015-04-07,632750,4,2,1800,4800,2,No,No View,Average,7,1918,98112,47.6388,-122.302
5070,2014-12-01,632500,4,2,2720,37258,2,No,No View,Average,10,1994,98077,47.7402,-122.035
5071,2014-06-20,632500,4,2,2090,10306,2,No,No View,Average,10,1986,98074,47.6304,-122.051
5072,2014-09-17,632500,5,3,3500,7254,2,No,No View,Average,8,2005,98065,47.5444,-121.881
5073,2014-06-16,632500,5,2,2640,7096,2,No,No View,Average,7,2003,98053,47.6827,-122.038
5074,2015-03-04,632500,4,2,1770,5000,2,No,No View,Good,7,1906,98107,47.6748,-122.386
5075,2014-11-11,632000,5,3,3520,36558,2,No,No View,Good,8,1985,98027,47.4658,-122.007
5076,2014-08-27,632000,5,2,2260,10087,1,No,No View,Average,8,1967,98008,47.5982,-122.128
5077,2014-12-17,632000,6,2,2560,8320,1,No,No View,Average,7,1961,98125,47.7021,-122.287
5078,2015-03-17,632000,3,2,2730,7521,2,No,Average,Average,9,1992,98011,47.7704,-122.196
5079,2014-08-18,631750,3,2,2360,4063,1,No,No View,Very Good,7,1940,98117,47.6902,-122.382
5080,2014-05-05,631625,4,2,2440,6651,2,No,No View,Average,9,2014,98117,47.6971,-122.371
5081,2014-07-07,631500,4,2,2530,5650,2,No,No View,Good,8,1910,98116,47.5778,-122.382
5082,2014-06-24,631500,2,1,1130,2640,1,No,No View,Good,8,1927,98109,47.6438,-122.357
5083,2015-04-28,631500,2,2,1780,2493,3,No,No View,Average,8,1981,98107,47.6704,-122.358
5084,2015-02-10,631000,4,4,2630,59586,1,No,No View,Average,7,1963,98055,47.4496,-122.209
5085,2015-04-08,631000,4,2,1930,3240,2,No,No View,Good,7,1911,98122,47.6156,-122.299
5086,2014-11-05,631000,5,2,2270,2400,2,No,No View,Average,7,1905,98122,47.6051,-122.319
5087,2015-04-22,631000,3,2,1670,1396,2,No,No View,Average,9,2015,98115,47.6814,-122.288
5088,2014-10-16,630500,3,1,1180,3600,2,No,No View,Average,7,1926,98112,47.6337,-122.28
5089,2014-11-24,630500,3,2,1909,1300,3,No,No View,Average,8,2006,98103,47.6538,-122.352
5090,2015-03-24,630100,4,3,1910,11356,1,No,No View,Very Good,7,1977,98033,47.6999,-122.2
5091,2014-05-07,630000,3,2,2680,327135,2,No,No View,Average,8,1995,98010,47.3783,-122.003
5092,2015-02-17,630000,3,2,2900,46609,2,No,No View,Average,9,1987,98077,47.7731,-122.086
5093,2014-05-28,630000,4,2,2740,43101,2,No,No View,Average,9,1993,98077,47.7649,-122.049
5094,2014-06-05,630000,4,4,4610,40202,1,No,No View,Good,10,1980,98027,47.4599,-122.0
5095,2015-04-22,630000,3,2,2460,38794,2,No,No View,Average,9,1999,98077,47.7602,-122.022
5096,2014-05-02,630000,4,3,2710,37277,2,No,No View,Average,9,2000,98027,47.4634,-121.987
